# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T22:31:35Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 6256ed3e67b2dd48e5b228b8530a3ceb359221f1b8394ec0a3c36c2c6da5ed97
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 117997e6b1b2a0c203f836446d48add4054dce7e7bc4182ff2d114475a7c586f
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 72b632ff1fece7b2572df3e7d72461adb2a4c04d42b17026b0ea61535330f754
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 5402bda41426d17f189ea99d5091f763b37ad99fd6528a65f7f08a1d7065f27f
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.reference.blood = outputs/blood/standard/_calculated_amino_acid_standard.tsv sha256 de970880e11d08ce8878eccce2cfb07e165a0eb7f9b01720f196542b7469daab
# input.reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = outputs/composite/_calculated_amino_acid_standard_composite.tsv sha256 85a2b165e9a85a46b868b603eeae6f30c8a5b2ccd61683fdfa9553abf1579997
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# reference.blood = blood: plasma + erythrocytes at the base split (haemoglobin share as measured), reference male | outputs/blood/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 5.41114, I 2.34354, L 11.308, K 8.29135, M 1.63704, F 6.03455, T 5.04357, W 1.91394, V 8.187
# reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = skeletal muscle protein + non-protein metabolite pools (carnosine) and blood, mixed by protein mass (Layer C), reference male | outputs/composite/_calculated_amino_acid_standard_composite.tsv column composite | scored set fao_2013_indispensable (HILKMFTWV) | values: H 3.32649, I 4.60745, L 9.17611, K 9.13469, M 2.38384, F 4.56337, T 5.0595, W 1.64053, V 6.52979
# every scored food under reference gorissen_2018_human_muscle, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
73	usda	sr_legacy_food 2018-04	168375	Pork, ground, 96% lean / 4% fat, cooked, pan-broiled	86.2612	F	31.69
74	usda	sr_legacy_food 2018-04	169190	Pork, ground, 96% lean / 4% fat, raw	86.2387	F	21.1
75	usda	sr_legacy_food 2018-04	169192	Pork, ground, 84% lean / 16% fat, cooked, crumbles	86.2348	F	26.69
76	usda	sr_legacy_food 2018-04	169193	Pork, ground, 96% lean / 4% fat, cooked, crumbles	86.2245	F	30.55
77	usda	sr_legacy_food 2018-04	168374	Pork, ground, 84% lean / 16% fat, cooked, pan-broiled	86.2224	F	27.14
78	usda	sr_legacy_food 2018-04	173330	Beef stew, canned entree	86.1291	K	4.41
79	usda	sr_legacy_food 2018-04	168630	Beef, variety meats and by-products, mechanically separated beef, raw	86.0625	H	14.97
80	usda	sr_legacy_food 2018-04	170125	Squash, summer, all varieties, cooked, boiled, drained, with salt	86.0390	H	0.91
81	usda	sr_legacy_food 2018-04	170488	Squash, summer, all varieties, cooked, boiled, drained, without salt	86.0390	H	0.91
82	usda	sr_legacy_food 2018-04	170126	Squash, summer, crookneck and straightneck, cooked, boiled, drained, with salt	86.0390	H	1.04
83	usda	sr_legacy_food 2018-04	168465	Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt	86.0390	H	1.04
84	usda	sr_legacy_food 2018-04	168067	Restaurant, Latino, tamale, pork	85.9880	F	7.35
85	usda	sr_legacy_food 2018-04	173878	Kielbasa, fully cooked, pan-fried	85.9796	F	12.36
86	usda	sr_legacy_food 2018-04	172837	Emu, outside drum, raw	85.9671	F	23.08
87	usda	sr_legacy_food 2018-04	168083	Restaurant, Chinese, chicken chow mein	85.9611	H	6.76
88	usda	sr_legacy_food 2018-04	172834	Emu, full rump, cooked, broiled	85.9561	F	33.67
89	usda	sr_legacy_food 2018-04	172835	Emu, inside drum, raw	85.9481	F	22.22
90	usda	sr_legacy_food 2018-04	172832	Emu, ground, raw	85.9452	F	22.77
91	usda	sr_legacy_food 2018-04	174478	Emu, flat fillet, raw	85.9445	F	22.25
92	usda	sr_legacy_food 2018-04	172838	Emu, oyster, raw	85.9417	F	22.81
93	usda	sr_legacy_food 2018-04	172836	Emu, inside drums, cooked, broiled	85.9349	F	32.38
94	usda	sr_legacy_food 2018-04	173877	Kielbasa, fully cooked, grilled	85.9240	F	12.45
95	usda	sr_legacy_food 2018-04	174476	Emu, fan fillet, raw	85.9192	F	22.5
96	usda	sr_legacy_food 2018-04	171636	Pork sausage, link/patty, reduced fat, cooked, pan-fried	85.9124	F	20.94
97	usda	sr_legacy_food 2018-04	174477	Emu, fan fillet, cooked, broiled	85.9090	F	31.27
98	usda	sr_legacy_food 2018-04	174479	Emu, full rump, raw	85.8875	F	22.83
99	usda	sr_legacy_food 2018-04	172833	Emu, ground, cooked, pan-broiled	85.8870	F	28.43
100	usda	sr_legacy_food 2018-04	171513	Chicken patty, frozen, cooked	85.8812	F	14.85
101	usda	sr_legacy_food 2018-04	174480	Emu, top loin, cooked, broiled	85.8804	F	29.07
102	usda	foundation_food 2026-04	334628	Restaurant, Latino, tamale, pork	85.8768	F	7.38
103	usda	sr_legacy_food 2018-04	171514	Chicken breast tenders, breaded, cooked, microwaved	85.8765	F	16.35
104	usda	sr_legacy_food 2018-04	172971	Pork sausage, link/patty, fully cooked, microwaved	85.8626	F	15.12
105	usda	sr_legacy_food 2018-04	174578	Pork sausage, link/patty, cooked, pan-fried	85.8499	F	18.53
106	usda	sr_legacy_food 2018-04	172374	Chicken, broilers or fryers, drumstick, meat and skin, cooked, fried, batter	85.8296	H	21.95
107	usda	sr_legacy_food 2018-04	168644	Beef, short loin, t-bone steak, separable lean only, trimmed to 0" fat, choice, cooked, broiled	85.7983	V	25.98
108	usda	sr_legacy_food 2018-04	169012	APPLEBEE'S, chicken tenders, from kids' menu	85.7796	T	19.25
109	usda	sr_legacy_food 2018-04	171475	Chicken, broilers or fryers, breast, meat and skin, cooked, fried, batter	85.7542	H	24.84
110	usda	sr_legacy_food 2018-04	173615	Chicken, broilers or fryers, leg, meat and skin, cooked, fried, batter	85.6788	H	21.77
111	usda	sr_legacy_food 2018-04	170322	WENDY'S, CLASSIC SINGLE Hamburger, with cheese	85.6621	H	14.87
112	usda	sr_legacy_food 2018-04	174808	Soup, hot and sour, Chinese restaurant	85.6586	H	2.58
113	usda	sr_legacy_food 2018-04	172386	Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, batter	85.6529	H	21.61
114	usda	sr_legacy_food 2018-04	169917	Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)	85.6029	L	0.91
115	usda	sr_legacy_food 2018-04	167649	Buffalo, free range, top round steak, raw (Shoshone Bannock)	85.5932	F	21.44
116	usda	sr_legacy_food 2018-04	167651	Buffalo, free range, top round steak, cooked (Shoshone Bannock)	85.5931	F	32.51
117	usda	sr_legacy_food 2018-04	169985	Cassava, raw	85.5901	L	1.36
118	usda	foundation_food 2026-04	746779	Sausage, breakfast sausage, beef, pre-cooked, unprepared	85.5794	V	13.3
119	usda	sr_legacy_food 2018-04	171719	Cherries, sweet, raw	85.5529	L	1.06
120	usda	sr_legacy_food 2018-04	173819	Veal, leg (top round), separable lean and fat, cooked, pan-fried, breaded	85.5482	F	27.29
121	usda	sr_legacy_food 2018-04	171063	Chicken, broilers or fryers, dark meat, meat and skin, cooked, fried, batter	85.5243	H	21.85
122	usda	sr_legacy_food 2018-04	169454	Beef, variety meats and by-products, spleen, raw	85.4989	F	18.3
123	usda	sr_legacy_food 2018-04	170532	Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, with salt	85.4839	H	1.28
124	usda	sr_legacy_food 2018-04	168468	Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt	85.4839	H	1.28
125	usda	sr_legacy_food 2018-04	170597	Beef, variety meats and by-products, spleen, cooked, braised	85.4820	F	25.1
126	usda	sr_legacy_food 2018-04	175271	Veal, leg (top round), separable lean only, cooked, pan-fried, breaded	85.4381	F	28.41
127	usda	sr_legacy_food 2018-04	171448	Chicken, broilers or fryers, meat and skin, cooked, fried, batter	85.4068	H	22.54
128	usda	sr_legacy_food 2018-04	173439	Cheese, low fat, cheddar or colby	85.3956	T	24.35
129	usda	sr_legacy_food 2018-04	173440	Cheese, low-sodium, cheddar or colby	85.3956	T	24.35
130	usda	sr_legacy_food 2018-04	173415	Cheese, cheshire	85.3443	T	23.37
131	usda	sr_legacy_food 2018-04	168082	Restaurant, Chinese, sweet and sour pork	85.3423	F	8.91
132	usda	sr_legacy_food 2018-04	174576	Pickle and pimiento loaf, pork	85.3165	F	11.23
133	usda	sr_legacy_food 2018-04	170844	Cheese, monterey	85.3146	T	24.48
134	usda	sr_legacy_food 2018-04	173413	Cheese, caraway	85.3096	T	25.18
135	usda	sr_legacy_food 2018-04	173487	Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic	85.3091	F	1.1
136	usda	sr_legacy_food 2018-04	171459	Chicken, broilers or fryers, light meat, meat and skin, cooked, fried, batter	85.2943	H	23.55
137	usda	sr_legacy_food 2018-04	173416	Cheese, colby	85.2739	T	23.76
138	usda	sr_legacy_food 2018-04	170535	Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, with salt	85.2638	H	1.15
139	usda	sr_legacy_food 2018-04	168470	Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt	85.2638	H	1.15
140	usda	foundation_food 2026-04	746774	Restaurant, Chinese, sweet and sour pork	85.2500	F	8.88
141	usda	sr_legacy_food 2018-04	171470	Chicken, broilers or fryers, back, meat and skin, cooked, fried, batter	85.2356	H	21.97
142	usda	sr_legacy_food 2018-04	171623	Cheesefurter, cheese smokie, pork, beef	85.2057	F	14.1
