accession	tier	subtree_annotations	evidence_codes
P31415	1	GO:0030018(IBA:GO_Central)	IBA
P31415	2	GO:0014701(IEA:Ensembl);GO:0016529(EXP:UniProtKB);GO:0033018(ISS:UniProtKB);GO:0033017(TAS:Reactome);GO:0014804(IEA:Ensembl)	EXP;IEA;ISS;TAS
P31431	1	GO:0043034(IEA:Ensembl)	IEA
P32418	1	GO:0030018(ISS:BHF-UCL)	ISS
P35222	1	GO:0030018(IEA:Ensembl)	IEA
P35443	2	GO:0016529(ISS:UniProtKB)	ISS
P35498	1	GO:0030018(ISS:BHF-UCL)	ISS
P35573	2	GO:0016529(IEA:Ensembl)	IEA
P35609	1	GO:0030018(IDA:UniProtKB)	IDA
P41145	2	GO:0016529(IEA:Ensembl)	IEA
P45378	1	GO:0005861(IDA:UniProtKB)	IDA
P45379	1	GO:0097512(IDA:CAFA);GO:1990584(IDA:CAFA);GO:0030017(TAS:BHF-UCL);GO:0005865(IDA:UniProtKB);GO:0005861(IDA:UniProtKB)	IDA;TAS
P47756	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
P47989	2	GO:0016529(IEA:Ensembl)	IEA
P48788	1	GO:0005861(IDA:UniProtKB)	IDA
P49257	1	GO:0030017(IEA:Ensembl)	IEA
P50461	1	GO:0030018(IDA:BHF-UCL)	IDA
P50479	1	GO:0030018(IBA:GO_Central)	IBA
P51114	1	GO:0043034(IEA:Ensembl)	IEA
P52179	1	GO:0031430(ISS:UniProtKB);GO:0005863(TAS:ProtInc)	ISS;TAS
P52961	2	GO:0033017(IEA:UniProtKB-SubCell)	IEA
P54289	2	GO:0016529(IEA:Ensembl)	IEA
P54296	1	GO:0031430(IBA:GO_Central)	IBA
P55145	2	GO:0033018(EXP:UniProtKB)	EXP
P56539	1	GO:0030018(IEA:Ensembl)	IEA
P57103	2	GO:0016528(IEA:UniProtKB-SubCell)	IEA
P60900	1	GO:0030016(ISS:BHF-UCL);GO:0030017(ISS:BHF-UCL)	ISS
P61313	1	GO:0031672(IEA:Ensembl)	IEA
P62942	1	GO:0030018(IDA:BHF-UCL)	IDA
P62942	2	GO:1990425(ISS:UniProtKB);GO:0016529(ISS:UniProtKB);GO:0033017(ISS:UniProtKB);GO:0014802(ISS:BHF-UCL)	ISS
P63261	1	GO:0030016(IEA:Ensembl)	IEA
P63316	1	GO:1990584(IDA:CAFA);GO:0030017(NAS:ComplexPortal);GO:0005861(IDA:UniProtKB)	IDA;NAS
P67936	1	GO:0005862(TAS:ProtInc)	TAS
P68032	1	GO:0031674(ISS:UniProtKB);GO:0030017(IDA:UniProtKB)	IDA;ISS
P68106	1	GO:0030018(IDA:BHF-UCL)	IDA
P68106	2	GO:0033017(IBA:GO_Central)	IBA
P68133	1	GO:0030017(IDA:UniProtKB);GO:0005865(IDA:UniProtKB)	IDA
P84077	1	GO:0030017(IEA:Ensembl)	IEA
Q00765	2	GO:0033017(ISS:UniProtKB)	ISS
Q00872	1	GO:0031430(IBA:GO_Central);GO:0030016(ISS:BHF-UCL)	IBA;ISS
Q01082	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
Q01449	1	GO:0031672(IDA:BHF-UCL);GO:0030016(IBA:GO_Central)	IBA;IDA
Q01484	1	GO:0031672(ISS:BHF-UCL);GO:0043034(ISS:BHF-UCL);GO:0031430(ISS:BHF-UCL);GO:0030018(ISS:BHF-UCL)	ISS
Q01668	1	GO:0030018(ISS:BHF-UCL)	ISS
Q03001	1	GO:0031673(IEA:UniProtKB-SubCell);GO:0030018(IDA:UniProtKB)	IDA;IEA
Q05682	1	GO:0030016(IEA:UniProtKB-SubCell)	IEA
Q06413	2	GO:0016528(IEA:UniProtKB-SubCell)	IEA
Q07343	1	GO:0030018(ISS:BHF-UCL)	ISS
Q08043	1	GO:0030018(IBA:GO_Central)	IBA
Q08209	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
Q08629	2	GO:0016528(ISS:UniProtKB)	ISS
Q09013	2	GO:0033017(ISS:UniProtKB)	ISS
Q09666	1	GO:0043034(ISS:CAFA)	ISS
Q0VAK6	1	GO:0031430(IDA:UniProtKB);GO:0005865(IDA:UniProtKB)	IDA
Q0ZGT2	1	GO:0030018(ISS:UniProtKB)	ISS
Q12792	1	GO:0030016(ISS:BHF-UCL)	ISS
Q12797	2	GO:0014701(TAS:BHF-UCL);GO:0033018(TAS:BHF-UCL);GO:0033017(TAS:BHF-UCL)	TAS
Q12955	1	GO:0043034(TAS:BHF-UCL);GO:0030018(ISS:BHF-UCL)	ISS;TAS
Q12955	2	GO:0016529(ISS:BHF-UCL)	ISS
Q13023	2	GO:0014701(ISS:BHF-UCL);GO:0016529(IDA:UniProtKB)	IDA;ISS
Q13049	1	GO:0005863(IEA:Ensembl)	IEA
Q13061	2	GO:0030314(ISS:BHF-UCL);GO:0014701(ISS:BHF-UCL);GO:0016529(ISS:BHF-UCL);GO:0033018(TAS:BHF-UCL);GO:0033017(EXP:UniProtKB)	EXP;ISS;TAS
Q13153	1	GO:0030018(ISS:UniProtKB)	ISS
Q13203	1	GO:0031430(IBA:GO_Central)	IBA
Q13418	1	GO:0030017(IEA:UniProtKB-SubCell)	IEA
