gene	outcome	accessions	matched_by	uniprot_primary_symbol
FTO	member	Q9C0B1	primary	FTO
FUBP1	member	Q96AE4	primary	FUBP1
FUBP3	member	Q96I24	primary	FUBP3
FUK	member	Q8N0W3	synonym	FCSK
FUNDC2	member	Q9BWH2	primary	FUNDC2
FUS	member	P35637	primary	FUS
FXN	member	Q16595	primary	FXN
FXR1	in_tier1	P51114	primary	FXR1
FXR2	member	P51116	primary	FXR2
FXYD1	member	O00168	primary	FXYD1
FYCO1	member	Q9BQS8	primary	FYCO1
FYTTD1	member	Q96QD9	primary	FYTTD1
G3BP1	member	Q13283	primary	G3BP1
G3BP2	member	Q9UN86	primary	G3BP2
G6PD	member	P11413	primary	G6PD
GAA	member	P10253	primary	GAA
GABARAPL2	member	P60520	primary	GABARAPL2
GALK1	member	P51570	primary	GALK1
GALM	member	Q96C23	primary	GALM
GALNT2	member	Q10471	primary	GALNT2
GALT	member	P07902	primary	GALT
GAMT	member	Q14353	primary	GAMT
GANAB	member	Q14697	primary	GANAB
GAPDH	member	P04406	primary	GAPDH
GAPVD1	member	Q14C86	primary	GAPVD1
GAR1	member	Q9NY12	primary	GAR1
GARS	member	P41250	synonym	GARS1
GART	member	P22102	primary	GART
GATC	member	O43716	primary	GATC
GATM	member	P50440	primary	GATM
GBA	member	P04062	synonym	GBA1
GBAS	member	O75323	synonym	NIPSNAP2
GBE1	member	Q04446	primary	GBE1
GBF1	member	Q92538	primary	GBF1
GBP1	member	P32455	primary	GBP1
GBP2	member	P32456	primary	GBP2
GBP4	member	Q96PP9	primary	GBP4
GC	ambiguous	P02774;P04062;P38435		
GCDH	member	Q92947	primary	GCDH
GCLM	member	P48507	primary	GCLM
GCN1L1	member	Q92616	synonym	GCN1
GCSH	member	P23434	primary	GCSH
GDA	ambiguous	P16260;Q9Y2T3		
GDE1	member	Q9NZC3	primary	GDE1
GDI1	member	P31150	primary	GDI1
GDI2	member	P50395	primary	GDI2
GEMIN5	member	Q8TEQ6	primary	GEMIN5
GFM1	member	Q96RP9	primary	GFM1
GFM2	member	Q969S9	primary	GFM2
GFPT1	member	Q06210	primary	GFPT1
GGACT	member	Q9BVM4	primary	GGACT
GGCT	member	O75223	primary	GGCT
GGCX	member	P38435	primary	GGCX
GGH	member	Q92820	primary	GGH
GGPS1	in_tier1	O95749	primary	GGPS1
GGT7	member	Q9UJ14	primary	GGT7
GHITM	member	Q9H3K2	primary	GHITM
GID8	member	Q9NWU2	primary	GID8
GIGYF2	member	Q6Y7W6	primary	GIGYF2
GIPC1	member	O14908	primary	GIPC1
GIT1	member	Q9Y2X7	primary	GIT1
GIT2	member	Q14161	primary	GIT2
GLG1	member	Q92896	primary	GLG1
GLIPR2	member	Q9H4G4	primary	GLIPR2
GLO1	member	Q04760	primary	GLO1
GLOD4	member	Q9HC38	primary	GLOD4
GLRX	member	P35754	primary	GLRX
GLRX3	in_tier1	O76003	primary	GLRX3
GLRX5	member	Q86SX6	primary	GLRX5
GLS	member	O94925	primary	GLS
GLTP	member	Q9NZD2	primary	GLTP
GLUD1	member	P00367	primary	GLUD1
GLUD2	member	P49448	primary	GLUD2
GLUL	member	P15104	primary	GLUL
GMPPB	member	Q9Y5P6	primary	GMPPB
GMPR	member	P36959	primary	GMPR
GMPR2	member	Q9P2T1	primary	GMPR2
GMPS	member	P49915	primary	GMPS
GNA11	member	P29992	primary	GNA11
GNAI2	member	P04899	primary	GNAI2
GNAI3	member	P08754	primary	GNAI3
GNAS	ambiguous	O95467;P63092;P84996;Q5JWF2		
GNB1	member	P62873	primary	GNB1
GNB2	member	P62879	primary	GNB2
GNB2L1	member	P63244	synonym	RACK1
GNB4	member	Q9HAV0	primary	GNB4
GNE	member	Q9Y223	primary	GNE
GNG12	member	Q9UBI6	primary	GNG12
GNL1	member	P36915	primary	GNL1
GNL3	member	Q9BVP2	primary	GNL3
GNPDA1	member	P46926	primary	GNPDA1
GNS	member	P15586	primary	GNS
GOLGA2	member	Q08379	primary	GOLGA2
GOLGA3	member	Q08378	primary	GOLGA3
GOLGA4	member	Q13439	primary	GOLGA4
GOLGA5	member	Q8TBA6	primary	GOLGA5
GOLGB1	member	Q14789	primary	GOLGB1
GOLIM4	member	O00461	primary	GOLIM4
GORASP2	member	Q9H8Y8	primary	GORASP2
GOSR2	member	O14653	primary	GOSR2
GOT1	member	P17174	primary	GOT1
GOT2	member	P00505	primary	GOT2
GPC1	member	P35052	primary	GPC1
GPC4	member	O75487	primary	GPC4
GPD1	member	P21695	primary	GPD1
GPD1L	member	Q8N335	primary	GPD1L
GPD2	member	P43304	primary	GPD2
GPHN	member	Q9NQX3	primary	GPHN
GPI	member	P06744	primary	GPI
GPKOW	member	Q92917	primary	GPKOW
GPS1	member	Q13098	primary	GPS1
GPT	member	P24298	primary	GPT
GPT2	member	Q8TD30	primary	GPT2
GPX1	member	P07203	primary	GPX1
GPX3	member	P22352	primary	GPX3
GPX4	member	P36969	primary	GPX4
GPX7	member	Q96SL4	primary	GPX7
GPX8	member	Q8TED1	primary	GPX8
GRB2	member	P62993	primary	GRB2
GRHPR	member	Q9UBQ7	primary	GRHPR
GRIPAP1	member	Q4V328	primary	GRIPAP1
GRPEL1	member	Q9HAV7	primary	GRPEL1
GRSF1	member	Q12849	primary	GRSF1
GRWD1	member	Q9BQ67	primary	GRWD1
GSDMA	member	Q96QA5	primary	GSDMA
GSK3B	member	P49841	primary	GSK3B
GSN	member	P06396	primary	GSN
GSPT1	member	P15170	primary	GSPT1
GSR	member	P00390	primary	GSR
GSS	member	P48637	primary	GSS
GSTK1	member	Q9Y2Q3	primary	GSTK1
GSTM1	member	P09488	primary	GSTM1
GSTM2	member	P28161	primary	GSTM2
GSTM3	member	P21266	primary	GSTM3
GSTM4	member	Q03013	primary	GSTM4
GSTO1	member	P78417	primary	GSTO1
GSTP1	member	P09211	primary	GSTP1
GSTT1	member	P30711	primary	GSTT1
GSTT2	ambiguous	P0CG29;P0CG30		
GSTT2B	member	P0CG30	primary	GSTT2B
GSTZ1	member	O43708	primary	GSTZ1
GTF2F1	member	P35269	primary	GTF2F1
GTF2I	member	P78347	primary	GTF2I
GTF3C3	member	Q9Y5Q9	primary	GTF3C3
GTF3C5	member	Q9Y5Q8	primary	GTF3C5
GTPBP1	member	O00178	primary	GTPBP1
GTPBP4	member	Q9BZE4	primary	GTPBP4
GTPBP6	member	O43824	primary	GTPBP6
GUF1	member	Q8N442	primary	GUF1
GUSB	member	P08236	primary	GUSB
GYG1	member	P46976	primary	GYG1
GYS1	member	P13807	primary	GYS1
H1F0	member	P07305	synonym	H1-0
H1FX	member	Q92522	synonym	H1-10
H2AFJ	member	Q9BTM1	synonym	H2AJ
H2AFV	member	Q71UI9	synonym	H2AZ2
H2AFY	member	O75367	synonym	MACROH2A1
H2AFY2	member	Q9P0M6	synonym	MACROH2A2
H2AFZ	member	P0C0S5	synonym	H2AZ1
H2BFS	member	P57053	synonym	H2BC12L
H3F3A	unmapped			
H3F3B	member	P84243	synonym	H3-3A; H3-3B
H3F3C	member	Q6NXT2	synonym	H3-5
H6PD	member	O95479	primary	H6PD
HACD1	member	B0YJ81	primary	HACD1
HACD2	member	Q6Y1H2	primary	HACD2
HACD3	member	Q9P035	primary	HACD3
HADH	ambiguous	P40939;Q16836		
HADHA	member	P40939	primary	HADHA
HADHB	member	P55084	primary	HADHB
HAGH	member	Q16775	primary	HAGH
HAL	member	P42357	primary	HAL
HAPLN1	member	P10915	primary	HAPLN1
HARS	member	P12081	synonym	HARS1
HARS2	ambiguous	P49590;Q8TEA8		
HAX1	member	O00165	primary	HAX1
HBA1	unmapped			
HBB	member	P68871	primary	HBB
HBD	member	P02042	primary	HBD
HBG1	member	P69891	primary	HBG1
HBS1L	member	Q9Y450	primary	HBS1L
HCCS	member	P53701	primary	HCCS
HCFC1	member	P51610	primary	HCFC1
HDAC2	member	Q92769	primary	HDAC2
HDAC4	member	P56524	primary	HDAC4
HDGF	member	P51858	primary	HDGF
HDGFRP2	member	Q7Z4V5	synonym	HDGFL2
HDGFRP3	member	Q9Y3E1	synonym	HDGFL3
HDHD1	member	Q08623	synonym	PUDP
HDHD2	member	Q9H0R4	primary	HDHD2
HDHD3	member	Q9BSH5	primary	HDHD3
HDLBP	member	Q00341	primary	HDLBP
HEATR1	member	Q9H583	primary	HEATR1
HEBP1	member	Q9NRV9	primary	HEBP1
HEBP2	member	Q9Y5Z4	primary	HEBP2
HECTD1	member	Q9ULT8	primary	HECTD1
HECTD3	member	Q5T447	primary	HECTD3
HEL-S-109	unmapped			
HELZ2	member	Q9BYK8	primary	HELZ2
HEMK2	member	Q9Y5N5	primary	HEMK2
HERC4	member	Q5GLZ8	primary	HERC4
HERC6	member	Q8IVU3	primary	HERC6
HEXA	member	P06865	primary	HEXA
HEXB	member	P07686	primary	HEXB
HGH1	member	Q9BTY7	primary	HGH1
HGS	member	O14964	primary	HGS
HHATL	member	Q9HCP6	primary	HHATL
HIBADH	member	P31937	primary	HIBADH
HIBCH	member	Q6NVY1	primary	HIBCH
HIGD1A	member	Q9Y241	primary	HIGD1A
HIGD2A	member	Q9BW72	primary	HIGD2A
HINT1	member	P49773	primary	HINT1
HINT2	member	Q9BX68	primary	HINT2
HINT3	member	Q9NQE9	primary	HINT3
HIP1	member	O00291	primary	HIP1
HIST1H1C	member	P16403	synonym	H1-2
HIST1H1D	member	P16402	synonym	H1-3
HIST1H1E	member	P10412	synonym	H1-4
HIST1H2AA	member	Q96QV6	synonym	H2AC1
HIST1H2AB	unmapped			
HIST1H2AC	member	Q93077	synonym	H2AC6
HIST1H2AD	member	P20671	synonym	H2AC7
HIST1H2AG	unmapped			
HIST1H2AH	member	Q96KK5	synonym	H2AC12
HIST1H2AJ	member	Q99878	synonym	H2AC14
HIST1H2BB	member	P33778	synonym	H2BC3
HIST1H2BC	unmapped			
HIST1H2BD	member	P58876	synonym	H2BC5
HIST1H2BH	member	Q93079	synonym	H2BC9
HIST1H2BJ	member	P06899	synonym	H2BC11
HIST1H2BK	member	O60814	synonym	H2BC12
HIST1H2BM	member	Q99879	synonym	H2BC14
HIST1H2BN	member	Q99877	synonym	H2BC15
HIST1H2BO	member	P23527	synonym	H2BC17
HIST1H4A	unmapped			
HIST2H2AA3	unmapped			
HIST2H2AB	member	Q8IUE6	synonym	H2AC21
HIST2H2AC	member	Q16777	synonym	H2AC20
HIST2H2BE	member	Q16778	synonym	H2BC21
HIST2H2BF	member	Q5QNW6	synonym	H2BC18
HIST2H3PS2	member	Q5TEC6	synonym	H3-7
HIST3H2A	member	Q7L7L0	synonym	H2AC25
HIST3H3	member	Q16695	synonym	H3-4
HK1	member	P19367	primary	HK1
HK2	member	P52789	primary	HK2
HLA-A	member	P04439	primary	HLA-A
HLA-B	member	P01889	primary	HLA-B
HLA-DRA	member	P01903	primary	HLA-DRA
HLA-E	member	P13747	primary	HLA-E
HLA-G	member	P17693	primary	HLA-G
HLA-G2.2	unmapped			
HLA-G3	unmapped			
HLCS	member	P50747	primary	HLCS
HMCN2	member	Q8NDA2	primary	HMCN2
HMGB1	member	P09429	primary	HMGB1
HMGB1P1	member	B2RPK0	primary	HMGB1P1
HMGB2	member	P26583	primary	HMGB2
HMGCL	member	P35914	primary	HMGCL
HMGCS1	member	Q01581	primary	HMGCS1
HMGCS2	member	P54868	primary	HMGCS2
HMGN3	member	Q15651	primary	HMGN3
HMGN4	member	O00479	primary	HMGN4
HMOX1	member	P09601	primary	HMOX1
HMOX2	member	P30519	primary	HMOX2
HN1	member	Q9UK76	synonym	JPT1
HNMT	member	P50135	primary	HNMT
HNRNPA0	member	Q13151	primary	HNRNPA0
HNRNPA1	member	P09651	primary	HNRNPA1
HNRNPA1L2	member	Q32P51	primary	HNRNPA1L2
HNRNPA2B1	member	P22626	primary	HNRNPA2B1
HNRNPA3	member	P51991	primary	HNRNPA3
HNRNPAB	member	Q99729	primary	HNRNPAB
HNRNPC	member	P07910	primary	HNRNPC
HNRNPD	member	Q14103	primary	HNRNPD
HNRNPDL	member	O14979	primary	HNRNPDL
HNRNPF	member	P52597	primary	HNRNPF
HNRNPH1	member	P31943	primary	HNRNPH1
HNRNPH3	member	P31942	primary	HNRNPH3
HNRNPK	member	P61978	primary	HNRNPK
HNRNPL	member	P14866	primary	HNRNPL
HNRNPM	member	P52272	primary	HNRNPM
HNRNPR	member	O43390	primary	HNRNPR
HNRNPU	member	Q00839	primary	HNRNPU
HNRNPUL1	member	Q9BUJ2	primary	HNRNPUL1
HNRNPUL2	member	Q1KMD3	primary	HNRNPUL2
HNRNPUL2-BSCL2	unmapped			
HNTN1	unmapped			
HOMER1	in_tier1	Q86YM7	primary	HOMER1
HOMER2	member	Q9NSB8	primary	HOMER2
HOOK1	member	Q9UJC3	primary	HOOK1
HOOK3	member	Q86VS8	primary	HOOK3
HP	member	P00738	primary	HP
HP1BP3	member	Q5SSJ5	primary	HP1BP3
HPCA	member	P84074	primary	HPCA
HPCAL1	member	P37235	primary	HPCAL1
HPRT1	member	P00492	primary	HPRT1
HPX	member	P02790	primary	HPX
HRC	in_tier1	P23327	primary	HRC
HRG	member	P04196	primary	HRG
HRSP12	member	P52758	synonym	RIDA
HS1BP3	member	Q53T59	primary	HS1BP3
HSCB	member	Q8IWL3	primary	HSCB
HSD17B10	member	Q99714	primary	HSD17B10
HSD17B12	member	Q53GQ0	primary	HSD17B12
HSD17B4	member	P51659	primary	HSD17B4
HSD17B8	member	Q92506	primary	HSD17B8
HSDL1	member	Q3SXM5	primary	HSDL1
HSDL2	member	Q6YN16	primary	HSDL2
HSP90AA1	member	P07900	primary	HSP90AA1
HSP90AB1	member	P08238	primary	HSP90AB1
HSP90AB2P	member	Q58FF8	primary	HSP90AB2P
HSP90AB4P	member	Q58FF6	primary	HSP90AB4P
HSP90B1	member	P14625	primary	HSP90B1
HSPA12B	member	Q96MM6	primary	HSPA12B
HSPA1A	member	P0DMV8	primary	HSPA1A
HSPA1B	member	P0DMV9	primary	HSPA1B
HSPA2	member	P54652	primary	HSPA2
HSPA4	member	P34932	primary	HSPA4
HSPA4L	member	O95757	primary	HSPA4L
HSPA5	member	P11021	primary	HSPA5
HSPA6	member	P17066	primary	HSPA6
HSPA8	member	P11142	primary	HSPA8
HSPA9	member	P38646	primary	HSPA9
HSPB1	in_tier1	P04792	primary	HSPB1
HSPB2	member	Q16082	primary	HSPB2
HSPB3	member	Q12988	primary	HSPB3
HSPB6	member	O14558	primary	HSPB6
HSPB7	member	Q9UBY9	primary	HSPB7
HSPB8	member	Q9UJY1	primary	HSPB8
HSPBP1	member	Q9NZL4	primary	HSPBP1
HSPD1	member	P10809	primary	HSPD1
HSPE1	member	P61604	primary	HSPE1
HSPE1-MOB4	unmapped			
HSPG2	member	P98160	primary	HSPG2
HSPH1	member	Q92598	primary	HSPH1
HTATSF1	member	O43719	primary	HTATSF1
HTRA1	member	Q92743	primary	HTRA1
HTRA2	member	O43464	primary	HTRA2
HUWE1	member	Q7Z6Z7	primary	HUWE1
HYI	member	Q5T013	primary	HYI
HYOU1	member	Q9Y4L1	primary	HYOU1
HYPK	member	Q9NX55	primary	HYPK
HZGJ	unmapped			
IAH1	member	Q2TAA2	primary	IAH1
IARS	member	P41252	synonym	IARS1
IARS2	member	Q9NSE4	primary	IARS2
IBA57	member	Q5T440	primary	IBA57
ICT1	member	Q14197	synonym	MRPL58
IDE	member	P14735	primary	IDE
IDH1	member	O75874	primary	IDH1
IDH2	member	P48735	primary	IDH2
IDH3A	member	P50213	primary	IDH3A
IDH3B	member	O43837	primary	IDH3B
IDH3G	member	P51553	primary	IDH3G
IDI1	member	Q13907	primary	IDI1
IDI2	member	Q9BXS1	primary	IDI2
IER3IP1	member	Q9Y5U9	primary	IER3IP1
IFI16	member	Q16666	primary	IFI16
IFI44	member	Q8TCB0	primary	IFI44
IFIH1	member	Q9BYX4	primary	IFIH1
IFIT1	member	P09914	primary	IFIT1
IFIT2	member	P09913	primary	IFIT2
IFIT3	member	O14879	primary	IFIT3
IFIT5	member	Q13325	primary	IFIT5
IGBP1	member	P78318	primary	IGBP1
IGF2BP1	member	Q9NZI8	primary	IGF2BP1
IGF2BP2	member	Q9Y6M1	primary	IGF2BP2
IGF2BP3	member	O00425	primary	IGF2BP3
IGF2R	member	P11717	primary	IGF2R
IGFBP5	member	P24593	primary	IGFBP5
IGFN1	in_tier1	Q86VF2	primary	IGFN1
IGHA1	member	P01876	primary	IGHA1
IGHA2	member	P01877	primary	IGHA2
IGHG1	member	P01857	primary	IGHG1
IGHG2	member	P01859	primary	IGHG2
IGHG3	member	P01860	primary	IGHG3
IGHG4	member	P01861	primary	IGHG4
IGHM	member	P01871	primary	IGHM
IGHV3-23	member	P01764	primary	IGHV3-23
IGHV3-30	member	P01768	primary	IGHV3-30
IGHV3-33	member	P01772	primary	IGHV3-33
IGHV3-53	member	P01767	primary	IGHV3-53
IGHV3-66	member	A0A0C4DH42	primary	IGHV3-66
IGHV3-74	member	A0A0B4J1X5	primary	IGHV3-74
IGHV3OR16-12	unmapped			
IGHV3OR16-13	unmapped			
IGHV3OR16-9	unmapped			
IGJ	member	P01591	synonym	JCHAIN
IGKV1D-33	member	P01593	primary	IGKV1D-33
IGKV2D-26	member	A0A0A0MRZ7	primary	IGKV2D-26
IGKV2D-28	member	P01615	primary	IGKV2D-28
IGKV2D-29	member	A0A075B6S2	primary	IGKV2D-29
IGKV3-11	member	P04433	primary	IGKV3-11
IGKV3-20	member	P01619	primary	IGKV3-20
IGKV4-1	member	P06312	primary	IGKV4-1
IGLC1	member	P0CG04	primary	IGLC1
IGLC2	member	P0DOY2	primary	IGLC2
IGLC3	member	P0DOY3	primary	IGLC3
IGLC6	member	P0CF74	primary	IGLC6
IGLL5	member	B9A064	primary	IGLL5
IK	member	Q13123	primary	IK
IKBIP	member	Q70UQ0	primary	IKBIP
IKBKAP	member	O95163	synonym	ELP1
IL1RN	member	P18510	primary	IL1RN
IL36G	member	Q9NZH8	primary	IL36G
IL37	member	Q9NZH6	primary	IL37
ILF2	member	Q12905	primary	ILF2
ILF3	member	Q12906	primary	ILF3
ILK	in_tier1	Q13418	primary	ILK
ILVBL	member	A1L0T0	synonym	HACL2
IMMT	member	Q16891	primary	IMMT
IMPA1	member	P29218	primary	IMPA1
IMPA2	member	O14732	primary	IMPA2
IMPAD1	member	Q9NX62	synonym	BPNT2
IMPDH1	member	P20839	primary	IMPDH1
IMPDH2	member	P12268	primary	IMPDH2
INPP5A	member	Q14642	primary	INPP5A
INPPL1	member	O15357	primary	INPPL1
IPO5	member	O00410	primary	IPO5
IPO7	member	O95373	primary	IPO7
IPO9	member	Q96P70	primary	IPO9
IQGAP1	member	P46940	primary	IQGAP1
IQGAP2	member	Q13576	primary	IQGAP2
IQSEC1	member	Q6DN90	primary	IQSEC1
IRF2BP2	member	Q7Z5L9	primary	IRF2BP2
IRF2BPL	member	Q9H1B7	primary	IRF2BPL
IRF9	member	Q00978	primary	IRF9
IRGQ	member	Q8WZA9	primary	IRGQ
IRS1	member	P35568	primary	IRS1
ISCA2	member	Q86U28	primary	ISCA2
ISCU	member	Q9H1K1	primary	ISCU
ISG15	member	P05161	primary	ISG15
ISG20	member	Q96AZ6	primary	ISG20
ISOC1	member	Q96CN7	primary	ISOC1
ISOC2	member	Q96AB3	primary	ISOC2
ISPD	member	A4D126	synonym	CRPPA
IST1	member	P53990	primary	IST1
ITGA1	member	P56199	primary	ITGA1
ITGA2	member	P17301	primary	ITGA2
ITGA7	member	Q13683	primary	ITGA7
ITGA8	member	P53708	primary	ITGA8
ITGAV	member	P06756	primary	ITGAV
ITGB1	member	P05556	primary	ITGB1
ITGB1BP2	in_tier1	Q9UKP3	primary	ITGB1BP2
ITGB6	member	P18564	primary	ITGB6
ITIH1	member	P19827	primary	ITIH1
ITIH2	member	P19823	primary	ITIH2
ITIH3	member	Q06033	primary	ITIH3
ITIH4	member	Q14624	primary	ITIH4
ITIH5	member	Q86UX2	primary	ITIH5
ITPA	member	Q9BY32	primary	ITPA
ITPR1	member	Q14643	primary	ITPR1
ITSN2	member	Q9NZM3	primary	ITSN2
IVD	member	P26440	primary	IVD
IVL	member	P07476	primary	IVL
JAGN1	member	Q8N5M9	primary	JAGN1
JCHAIN	member	P01591	primary	JCHAIN
JPH1	in_tier1	Q9HDC5	primary	JPH1
JPH2	in_tier1	Q9BR39	primary	JPH2
JSRP1	member	Q96MG2	primary	JSRP1
JUP	in_tier1	P14923	primary	JUP
KAL1	member	P23352	synonym	ANOS1
KANK2	member	Q63ZY3	primary	KANK2
KARS	member	Q15046	synonym	KARS1
KATNAL2	member	Q8IYT4	primary	KATNAL2
KCNAB2	member	Q13303	primary	KCNAB2
KCTD12	member	Q96CX2	primary	KCTD12
KCTD14	member	Q9BQ13	primary	KCTD14
KDELC1	member	Q6UW63	synonym	POGLUT2
KDM1A	member	O60341	primary	KDM1A
KHDRBS1	member	Q07666	primary	KHDRBS1
KHSRP	member	Q92945	primary	KHSRP
KIAA0368	member	Q5VYK3	synonym	ECPAS
KIAA1033	member	Q2M389	synonym	WASHC4
KIAA1161	member	Q6NSJ0	synonym	MYORG
KIAA1429	member	Q69YN4	synonym	VIRMA
KIDINS220	member	Q9ULH0	primary	KIDINS220
KIF13A	member	Q9H1H9	primary	KIF13A
KIF1C	member	O43896	primary	KIF1C
KIF21A	member	Q7Z4S6	primary	KIF21A
KIF2A	member	O00139	primary	KIF2A
KIF5B	member	P33176	primary	KIF5B
KIN27	unmapped			
KLC1	member	Q07866	primary	KLC1
KLC2	ambiguous	Q6P597;Q9H0B6		
KLHL21	member	Q9UJP4	primary	KLHL21
KLHL31	member	Q9H511	primary	KLHL31
KLHL40	in_tier1	Q2TBA0	primary	KLHL40
KLHL41	in_tier1	O60662	primary	KLHL41
KLK10	member	O43240	primary	KLK10
KLK5	member	Q9Y337	primary	KLK5
KLK7	member	P49862	primary	KLK7
KLK8	member	O60259	primary	KLK8
KLK9	member	Q9UKQ9	primary	KLK9
KLKB1	member	P03952	primary	KLKB1
KNG1	member	P01042	primary	KNG1
KPNA1	member	P52294	primary	KPNA1
KPNA3	member	O00505	primary	KPNA3
KPNA4	member	O00629	primary	KPNA4
KPNA6	member	O60684	primary	KPNA6
KPNB1	member	Q14974	primary	KPNB1
KPRP	member	Q5T749	primary	KPRP
KRAS	member	P01116	primary	KRAS
KRT1	contaminant	P04264	primary	KRT1
KRT18	member	P05783	primary	KRT18
KRT6B	contaminant	P04259	primary	KRT6B
KRT76	contaminant	Q01546	primary	KRT76
KTN1	member	Q86UP2	primary	KTN1
L2HGDH	member	Q9H9P8	primary	L2HGDH
L3HYPDH	member	Q96EM0	primary	L3HYPDH
LACRT	member	Q9GZZ8	primary	LACRT
LACTB	member	P83111	primary	LACTB
LACTB2	member	Q53H82	primary	LACTB2
LAMA2	member	P24043	primary	LAMA2
LAMA3	member	Q16787	primary	LAMA3
LAMA4	member	Q16363	primary	LAMA4
LAMA5	member	O15230	primary	LAMA5
LAMB1	member	P07942	primary	LAMB1
LAMB2	ambiguous	P11047;P55268		
LAMC1	member	P11047	primary	LAMC1
LAMP1	member	P11279	primary	LAMP1
LAMP2	member	P13473	primary	LAMP2
LAMTOR1	member	Q6IAA8	primary	LAMTOR1
LAMTOR2	member	Q9Y2Q5	primary	LAMTOR2
LAMTOR3	member	Q9UHA4	primary	LAMTOR3
LAMTOR5	member	O43504	primary	LAMTOR5
LANCL1	member	O43813	primary	LANCL1
LANCL2	member	Q9NS86	primary	LANCL2
LAP3	member	P28838	primary	LAP3
LARP1	member	Q6PKG0	primary	LARP1
LARP7	member	Q4G0J3	primary	LARP7
LARS	member	Q9P2J5	synonym	LARS1
LARS2	member	Q15031	primary	LARS2
LASP1	member	Q14847	primary	LASP1
LCLAT1	member	Q6UWP7	primary	LCLAT1
LCMT1	member	Q9UIC8	primary	LCMT1
LCN1	member	P31025	primary	LCN1
LCN2	member	P80188	primary	LCN2
LDB3	in_tier1	O75112	primary	LDB3
LDHA	member	P00338	primary	LDHA
LDHB	member	P07195	primary	LDHB
LDHD	member	Q86WU2	primary	LDHD
LEMD2	member	Q8NC56	primary	LEMD2
LEMD3	member	Q9Y2U8	primary	LEMD3
LENG8	member	Q96PV6	primary	LENG8
LEPRE1	member	Q32P28	synonym	P3H1
LEPREL1	member	Q8IVL5	synonym	P3H2
LETM1	member	O95202	primary	LETM1
LGALS1	member	P09382	primary	LGALS1
LGALS3	member	P17931	primary	LGALS3
LGALS3BP	member	Q08380	primary	LGALS3BP
LGALS7	unmapped			
LGALS9	member	O00182	primary	LGALS9
LGALS9B	member	Q3B8N2	primary	LGALS9B
LGALS9C	member	Q6DKI2	primary	LGALS9C
LGALSL	member	Q3ZCW2	primary	LGALSL
LHPP	member	Q9H008	primary	LHPP
LIMA1	member	Q9UHB6	primary	LIMA1
LIMCH1	member	Q9UPQ0	primary	LIMCH1
LIMS1	member	P48059	primary	LIMS1
LIMS2	member	Q7Z4I7	primary	LIMS2
LIN7C	member	Q9NUP9	primary	LIN7C
LIPE	member	Q05469	primary	LIPE
LMAN1	in_tier1	P49257	primary	LMAN1
LMAN2	member	Q12907	primary	LMAN2
LMAN2L	member	Q9H0V9	primary	LMAN2L
LMCD1	member	Q9NZU5	primary	LMCD1
LMNA	member	P02545	primary	LMNA
LMNB1	member	P20700	primary	LMNB1
LMNB2	member	Q03252	primary	LMNB2
LMO7	member	Q8WWI1	primary	LMO7
LMOD1	in_tier1	P29536	primary	LMOD1
LMOD2	in_tier1	Q6P5Q4	primary	LMOD2
LMOD3	in_tier1	Q0VAK6	primary	LMOD3
LNP	member	Q9C0E8	synonym	LNPK
LNPEP	member	Q9UIQ6	primary	LNPEP
LOC285556	unmapped			
LONP1	member	P36776	primary	LONP1
LOR	member	P23490	synonym	LORICRIN
LOXL2	member	Q9Y4K0	primary	LOXL2
LPCAT2	member	Q7L5N7	primary	LPCAT2
LPCAT3	member	Q6P1A2	primary	LPCAT3
LPIN1	member	Q14693	primary	LPIN1
LPP	member	Q93052	primary	LPP
LRBA	member	P50851	primary	LRBA
LRG1	member	P02750	primary	LRG1
LRP1	member	Q07954	primary	LRP1
LRPAP1	member	P30533	primary	LRPAP1
LRPPRC	member	P42704	primary	LRPPRC
LRRC14B	member	A6NHZ5	primary	LRRC14B
LRRC15	member	Q8TF66	primary	LRRC15
LRRC2	member	Q9BYS8	primary	LRRC2
LRRC20	member	Q8TCA0	primary	LRRC20
LRRC32	member	Q14392	primary	LRRC32
LRRC39	in_tier1	Q96DD0	primary	LRRC39
LRRC40	member	Q9H9A6	primary	LRRC40
LRRC47	member	Q8N1G4	primary	LRRC47
LRRC4B	member	Q9NT99	primary	LRRC4B
LRRC4C	member	Q9HCJ2	primary	LRRC4C
LRRC59	member	Q96AG4	primary	LRRC59
LRRFIP1	member	Q32MZ4	primary	LRRFIP1
LRRFIP2	member	Q9Y608	primary	LRRFIP2
LSM12	member	Q3MHD2	primary	LSM12
LSM14A	member	Q8ND56	primary	LSM14A
LSM4	member	Q9Y4Z0	primary	LSM4
LSM6	member	P62312	primary	LSM6
LSM7	member	Q9UK45	primary	LSM7
LSM8	member	O95777	primary	LSM8
LSMEM1	member	Q8N8F7	primary	LSMEM1
LSMEM2	member	Q8N112	primary	LSMEM2
LSS	member	P48449	primary	LSS
LTA4H	member	P09960	primary	LTA4H
LTBP2	member	Q14767	primary	LTBP2
LTF	member	P02788	primary	LTF
LUC7L2	member	Q9Y383	primary	LUC7L2
LUM	member	P51884	primary	LUM
LUZP1	member	Q86V48	primary	LUZP1
LY6D	member	Q14210	primary	LY6D
LYNX1	member	P0DP58	primary	LYNX1
LYPLA1	member	O75608	primary	LYPLA1
LYPLA2	member	O95372	primary	LYPLA2
