accession	tier	subtree_annotations	evidence_codes
P17174	erythrocytes		
P17612	erythrocytes		
P17655	erythrocytes		
P17812	erythrocytes		
P17813	erythrocytes		
P17858	erythrocytes		
P17927	erythrocytes		
P17931	erythrocytes		
P17936	plasma		
P17980	erythrocytes		
P17987	erythrocytes		
P18031	erythrocytes		
P18077	erythrocytes		
P18124	erythrocytes		
P18428	plasma		
P18433	erythrocytes		
P18577	erythrocytes		
P18621	erythrocytes		
P18669	erythrocytes		
P19086	erythrocytes		
P19105	erythrocytes		
P19174	erythrocytes		
P19256	erythrocytes		
P19320	plasma		
P19474	erythrocytes		
P19652	plasma		
P19784	erythrocytes		
P19823	plasma		
P19827	erythrocytes		
P19827	plasma		
P20020	erythrocytes		
P20042	erythrocytes		
P20073	erythrocytes		
P20339	erythrocytes		
P20340	erythrocytes		
P20618	erythrocytes		
P20674	erythrocytes		
P20742	plasma		
P20810	erythrocytes		
P20851	plasma		
P20930	erythrocytes		
P21108	erythrocytes		
P21145	erythrocytes		
P21266	erythrocytes		
P21281	erythrocytes		
P21333	erythrocytes		
P21399	erythrocytes		
P21439	erythrocytes		
P21796	erythrocytes		
P21964	erythrocytes		
P21980	erythrocytes		
P22059	erythrocytes		
P22061	erythrocytes		
P22102	erythrocytes		
P22105	plasma		
P22234	erythrocytes		
P22303	erythrocytes		
P22314	erythrocytes		
P22392	erythrocytes		
P22612	erythrocytes		
P22626	erythrocytes		
P22694	erythrocytes		
P22695	erythrocytes		
P22736	erythrocytes		
P22792	plasma		
P22830	erythrocytes		
P22891	plasma		
P23083	plasma		
P23142	plasma		
P23193	erythrocytes		
P23258	erythrocytes		
P23276	erythrocytes		
P23284	erythrocytes		
P23381	erythrocytes		
P23396	erythrocytes		
P23470	plasma		
P23526	erythrocytes		
P23528	erythrocytes		
P23588	erythrocytes		
P23610	erythrocytes		
P23634	erythrocytes		
P23743	erythrocytes		
P23919	erythrocytes		
P23921	erythrocytes		
P24298	erythrocytes		
P24390	erythrocytes		
P24534	erythrocytes		
P24539	erythrocytes		
P24666	erythrocytes		
P24941	erythrocytes		
P25311	plasma		
P25325	erythrocytes		
P25398	erythrocytes		
P25445	erythrocytes		
P25685	erythrocytes		
P25686	erythrocytes		
P25705	erythrocytes		
