accession	tier	subtree_annotations	evidence_codes
P04792	erythrocytes		
P04798	erythrocytes		
P04843	erythrocytes		
P04844	erythrocytes		
P04899	erythrocytes		
P04920	erythrocytes		
P04921	erythrocytes		
P05023	erythrocytes		
P05026	erythrocytes		
P05062	erythrocytes		
P05089	erythrocytes		
P05090	plasma		
P05109	erythrocytes		
P05109	plasma		
P05141	erythrocytes		
P05154	plasma		
P05155	plasma		
P05156	plasma		
P05160	plasma		
P05161	erythrocytes		
P05198	erythrocytes		
P05386	erythrocytes		
P05387	erythrocytes		
P05388	erythrocytes		
P05452	plasma		
P05455	erythrocytes		
P05543	plasma		
P05546	plasma		
P05556	erythrocytes		
P06132	erythrocytes		
P06213	erythrocytes		
P06241	erythrocytes		
P06276	plasma		
P06310	plasma		
P06312	plasma		
P06331	plasma		
P06396	erythrocytes		
P06396	plasma		
P06454	erythrocytes		
P06576	erythrocytes		
P06681	plasma		
P06702	erythrocytes		
P06702	plasma		
P06703	erythrocytes		
P06727	plasma		
P06730	erythrocytes		
P06733	erythrocytes		
P06744	erythrocytes		
P06753	erythrocytes		
P07099	erythrocytes		
P07108	erythrocytes		
P07195	erythrocytes		
P07195	plasma		
P07225	plasma		
P07237	erythrocytes		
P07311	erythrocytes		
P07333	plasma		
P07355	erythrocytes		
P07357	plasma		
P07358	plasma		
P07359	plasma		
P07360	plasma		
P07384	erythrocytes		
P07437	erythrocytes		
P07451	erythrocytes		
P07477	erythrocytes		
P07602	erythrocytes		
P07737	erythrocytes		
P07738	erythrocytes		
P07741	erythrocytes		
P07814	erythrocytes		
P07858	erythrocytes		
P07900	erythrocytes		
P07902	erythrocytes		
P07910	erythrocytes		
P07947	erythrocytes		
P07948	erythrocytes		
P07951	erythrocytes		
P07954	erythrocytes		
P08174	erythrocytes		
P08185	plasma		
P08195	erythrocytes		
P08235	erythrocytes		
P08236	erythrocytes		
P08237	erythrocytes		
P08238	erythrocytes		
P08246	erythrocytes		
P08294	plasma		
P08397	erythrocytes		
P08571	plasma		
P08603	plasma		
P08631	erythrocytes		
P08637	plasma		
P08670	erythrocytes		
P08697	plasma		
P08708	erythrocytes		
P08709	plasma		
P08754	erythrocytes		
P08758	erythrocytes		
P08865	erythrocytes		
P09104	erythrocytes		
P09105	erythrocytes		
P09132	erythrocytes		
P09172	plasma		
P09210	erythrocytes		
P09211	erythrocytes		
P09327	erythrocytes		
P09417	erythrocytes		
P09493	erythrocytes		
P09496	erythrocytes		
P09497	erythrocytes		
P09525	erythrocytes		
P09543	erythrocytes		
P09651	erythrocytes		
P09871	plasma		
P09960	erythrocytes		
P09972	erythrocytes		
P0C0L4	erythrocytes		
P0C0L5	erythrocytes		
P0C0S5	erythrocytes		
P0C0S8	erythrocytes		
P0C645	erythrocytes		
P0C7P3	erythrocytes		
P0CF51	erythrocytes		
P0CG38	erythrocytes		
P0DJI8	plasma		
P0DJI9	plasma		
P0DMV9	erythrocytes		
P10114	erythrocytes		
P10155	erythrocytes		
P10398	erythrocytes		
P10599	erythrocytes		
P10606	erythrocytes		
P10643	plasma		
P10644	erythrocytes		
P10720	plasma		
P10721	plasma		
P10746	erythrocytes		
P10768	erythrocytes		
P10809	erythrocytes		
P10909	erythrocytes		
P10909	plasma		
P10966	erythrocytes		
P11021	erythrocytes		
P11021	plasma		
P11047	erythrocytes		
P11137	plasma		
P11142	erythrocytes		
P11166	erythrocytes		
P11171	erythrocytes		
P11226	plasma		
P11233	erythrocytes		
P11234	erythrocytes		
P11277	erythrocytes		
P11279	erythrocytes		
P11413	erythrocytes		
P11441	erythrocytes		
P11586	erythrocytes		
P11597	plasma		
P11766	erythrocytes		
P11908	erythrocytes		
P11940	erythrocytes		
P12081	erythrocytes		
P12236	erythrocytes		
P12259	plasma		
P12270	erythrocytes		
P12273	erythrocytes		
P12829	erythrocytes		
P12955	erythrocytes		
P12955	plasma		
P13473	plasma		
P13489	erythrocytes		
P13591	plasma		
P13598	plasma		
P13639	erythrocytes		
P13667	erythrocytes		
P13671	plasma		
P13693	erythrocytes		
P13716	erythrocytes		
P13747	erythrocytes		
P13796	erythrocytes		
P13796	plasma		
P13798	erythrocytes		
P13804	erythrocytes		
P13807	erythrocytes		
P13861	erythrocytes		
P13987	erythrocytes		
P14091	erythrocytes		
P14151	plasma		
P14174	erythrocytes		
P14209	erythrocytes		
P14314	erythrocytes		
P14317	erythrocytes		
P14324	erythrocytes		
P14406	erythrocytes		
P14415	erythrocytes		
P14543	erythrocytes		
P14550	erythrocytes		
P14598	erythrocytes		
P14625	erythrocytes		
P14672	erythrocytes		
P14735	erythrocytes		
P14868	erythrocytes		
P14923	erythrocytes		
P15104	erythrocytes		
P15121	erythrocytes		
P15144	plasma		
P15151	erythrocytes		
P15153	erythrocytes		
P15169	plasma		
P15170	erythrocytes		
P15311	erythrocytes		
P15374	erythrocytes		
P15531	erythrocytes		
P15735	erythrocytes		
P15814	plasma		
P15880	erythrocytes		
P15924	erythrocytes		
P15924	plasma		
P16070	erythrocytes		
P16070	plasma		
P16083	erythrocytes		
P16152	erythrocytes		
P16157	erythrocytes		
P16452	erythrocytes		
P16455	erythrocytes		
P16591	erythrocytes		
P16615	erythrocytes		
P16671	erythrocytes		
P16930	erythrocytes		
P16949	erythrocytes		
P16989	erythrocytes		
P17066	erythrocytes		
P17066	plasma		
