# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T01:21:41Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 f1fe894b4ab9a9876bbb4b1fcbad73a45f4c6211ee9718d272dea6f658ca24bf
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 c99df4b9f16a1ee722461b25563658e2665aaa45acadc37a971f7f46d5b49579
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 550dece6515abc11e21096616e7446fdf4c836134beaf5b2bbba516136e90db7
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 a378ac611584c370ed4fdb18d705ab6e94f0d05943bc9b9b3dbe5fa4567a3b87
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# every scored food under reference skeletal_muscle_protein, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
122	usda	sr_legacy_food 2018-04	169832	T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded	85.3677	W	11.87
123	usda	sr_legacy_food 2018-04	168082	Restaurant, Chinese, sweet and sour pork	85.3310	W	8.91
124	usda	sr_legacy_food 2018-04	169928	Peaches, yellow, raw	85.3235	I	0.91
125	usda	foundation_food 2026-04	746774	Restaurant, Chinese, sweet and sour pork	85.3064	W	8.88
126	usda	sr_legacy_food 2018-04	175297	Game meat, boar, wild, raw	85.1923	W	21.51
127	usda	sr_legacy_food 2018-04	169946	Pineapple, frozen, chunks, sweetened	85.1601	L	0.4
128	usda	sr_legacy_food 2018-04	175298	Game meat, boar, wild, cooked, roasted	85.1465	W	28.3
129	usda	sr_legacy_food 2018-04	175087	Game meat, horse, cooked, roasted	85.1301	W	28.14
130	usda	sr_legacy_food 2018-04	175086	Game meat, horse, raw	85.0572	W	21.39
131	usda	sr_legacy_food 2018-04	174369	Veal, variety meats and by-products, tongue, cooked, braised	85.0531	W	25.85
132	usda	sr_legacy_food 2018-04	175165	Fish, catfish, channel, farmed, raw	85.0150	W	15.23
133	usda	sr_legacy_food 2018-04	168272	Pork, fresh, variety meats and by-products, mechanically separated, raw	84.9786	M	15.03
134	usda	sr_legacy_food 2018-04	172932	Mother's loaf, pork	84.9366	W	12.07
135	usda	sr_legacy_food 2018-04	175166	Fish, catfish, channel, farmed, cooked, dry heat	84.8997	W	18.44
136	usda	sr_legacy_food 2018-04	174368	Veal, variety meats and by-products, tongue, raw	84.8722	W	17.18
137	usda	sr_legacy_food 2018-04	173421	Egg, yolk, raw, frozen, pasteurized	84.6363	K	15.53
138	usda	sr_legacy_food 2018-04	167852	Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted	84.6360	W	24.21
139	usda	sr_legacy_food 2018-04	168233	Pork, fresh, loin, whole, separable lean only, cooked, roasted	84.6267	W	28.62
140	usda	sr_legacy_food 2018-04	168225	Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted	84.6256	W	29.41
141	usda	sr_legacy_food 2018-04	167893	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried	84.6239	W	27.68
142	usda	sr_legacy_food 2018-04	167907	Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw	84.6212	W	21.23
143	usda	sr_legacy_food 2018-04	168262	Pork, fresh, shoulder, blade, boston (steaks), separable lean only, cooked, broiled	84.6210	W	26.74
144	usda	sr_legacy_food 2018-04	170334	TACO BELL, BURRITO SUPREME with chicken	84.6100	K	9.84
145	usda	sr_legacy_food 2018-04	167846	Pork, fresh, shoulder, whole, separable lean only, cooked, roasted	84.5969	W	25.33
146	usda	sr_legacy_food 2018-04	168301	Pork, fresh, loin, center rib (roasts), boneless, separable lean and fat, cooked, roasted	84.5768	W	26.99
147	usda	sr_legacy_food 2018-04	167848	Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted	84.5680	W	26.68
148	usda	sr_legacy_food 2018-04	168302	Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean only, raw	84.5678	W	21.8
149	usda	sr_legacy_food 2018-04	167639	Fish, salmon, coho (silver), raw (Alaska Native)	84.5672	I	22.56
150	usda	sr_legacy_food 2018-04	168231	Pork, fresh, loin, whole, separable lean only, cooked, braised	84.5636	W	28.57
151	usda	sr_legacy_food 2018-04	168232	Pork, fresh, loin, whole, separable lean only, cooked, broiled	84.5636	W	28.57
152	usda	sr_legacy_food 2018-04	167851	Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled	84.5581	W	25.58
153	usda	sr_legacy_food 2018-04	168303	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, braised	84.5396	W	27.95
154	usda	sr_legacy_food 2018-04	167894	Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted	84.5362	W	28.81
155	usda	sr_legacy_food 2018-04	167854	Pork, fresh, spareribs, separable lean and fat, cooked, braised	84.5026	W	29.06
156	usda	sr_legacy_food 2018-04	168230	Pork, fresh, loin, whole, separable lean only, raw	84.4995	W	21.43
157	usda	sr_legacy_food 2018-04	168304	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled	84.4938	W	29.46
158	usda	sr_legacy_food 2018-04	168224	Pork, fresh, leg (ham), whole, separable lean only, raw	84.4899	W	20.48
159	usda	sr_legacy_food 2018-04	173875	Frankfurter, meat and poultry, unheated	84.4871	W	9.72
160	usda	sr_legacy_food 2018-04	171634	Frankfurter, meat and poultry, cooked, grilled	84.4743	W	10.67
161	usda	sr_legacy_food 2018-04	169768	Potatoes, mashed, ready-to-eat	84.4705	T	1.97
162	usda	sr_legacy_food 2018-04	167908	Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked	84.4675	W	29.47
163	usda	sr_legacy_food 2018-04	167903	Pork, fresh, ground, cooked	84.4623	W	25.69
