row_index	identity_cell	gene_cell	entry	outcome	published_share_percent
1116	B9A008	IMP4		no_reviewed_human_entry	0.000000
1164	Q5SVK0;H0Y379;Q5SVJ8	KCNMA1		no_reviewed_human_entry	0.000000
1201	A0A0C4DH65	KRBA1		no_reviewed_human_entry	0.000000
1212	Q9C075;CON__Q9C075;J3QR55;Q9C075-2	KRT23	Q9C075	keratin	0.000000
1214	Q14532;CON__Q14532	KRT32	Q14532	keratin	0.000000
1217	O76011;CON__Q8IUT8;CON__O76011	KRT34	O76011	keratin	0.000000
1228	Q7Z794;CON__Q7Z794	KRT77	Q7Z794	keratin	0.000000
1234	K7EQQ3	KRT9		no_reviewed_human_entry	0.000000
1236	P60411;A0A087WT19	KRTAP10-9	P60411	keratin	0.000000
1237	Q8IUC1	KRTAP11-1	Q8IUC1	keratin	0.000000
1238	F5H1T9;CON__Q9BYR9;F5H6S0;Q9BYT5;Q9BYU5;Q9BYR9;P0C7H8	KRTAP2-1;KRTAP2-2;KRTAP2-4;KRTAP2-3	Q9BYT5	keratin	0.000000
1262	D6RD58	LECT2		no_reviewed_human_entry	0.000000
1271	A0A087WT39;V9GYI1	LIME1		no_reviewed_human_entry	0.000000
1272	A0A087WZP9	LIME1		no_reviewed_human_entry	0.000000
1360	E9PII5	MKNK1		no_reviewed_human_entry	0.000000
1392	F5H2F4;V9GYY3;V9GY75;V9GZ78	MTHFD1		no_reviewed_human_entry	0.000000
1432	C9JZI7;E9PKT8;C9J1B1	NAP1L4		no_reviewed_human_entry	0.000000
1438	E9PJQ2	NASP		no_reviewed_human_entry	0.000000
1692	E5RHP4;E5RFI3	PPP2CA;PPP2CB		no_reviewed_human_entry	0.000000
1711	A6NJJ0	PRDX4		no_reviewed_human_entry	0.000000
1720	K7EIE5;K7EMZ6;K7EMU2	PRKAR1A		no_reviewed_human_entry	0.000000
1734	F5H2I0;A8MUE1;A0A0G2JM38;A0A0G2JPC7;A0A0G2JP84;A0A0A0MSZ8;A0A0G2JQ20;A0A0G2JQ10;A0A0G2JP25;A0A0G2JNE9;A0A0G2JPX5;A0A0G2JMH7;A0A0A0MS20	PRPF19;LILRB4		no_reviewed_human_entry	0.000000
1735	B1ALA9	PRPS1		no_reviewed_human_entry	0.000000
1756	H0YKT8	PSMA4		no_reviewed_human_entry	0.000000
1767	A0A087WUL2	PSMB3		no_reviewed_human_entry	0.000000
1851	F8VWU4	RAB5C		no_reviewed_human_entry	0.000000
1869	J3KSC4;J3QLK0	RAC3		no_reviewed_human_entry	0.000000
1884	F5H077	RAP1B		no_reviewed_human_entry	0.000000
1885	F5H823;B7ZB78	RAP1B		no_reviewed_human_entry	0.000000
1891	H0Y8T6	RAPGEF2		no_reviewed_human_entry	0.000000
1918	E7EQ47;E9PKB3;H0YCJ8	RHCE		no_reviewed_human_entry	0.000000
1941	F8W7C6;A0A087WV22	RPL10		no_reviewed_human_entry	0.000000
1996	A0A0G2JQH2;Q5GGW2	RPS18		no_reviewed_human_entry	0.000000
2055	I3L506	SCPEP1		no_reviewed_human_entry	0.000000
2081	C9JHT8	SENP5		no_reviewed_human_entry	0.000000
2106	A0A087WV23	SH3BGRL3		no_reviewed_human_entry	0.000000
2180	H3BV99	SNAP23		no_reviewed_human_entry	0.000000
2205	V9GY79	SPTA1		no_reviewed_human_entry	0.000000
2298	F5H136;F5H676;F5H726	TCP1		no_reviewed_human_entry	0.000000
2318	Q5T466	TINAG		no_reviewed_human_entry	0.000000
2389	K7EQW8	TPM4		no_reviewed_human_entry	0.000000
2392	Q5VZU9	TPP2		no_reviewed_human_entry	0.000000
2450	K4DI81	UBE2C		no_reviewed_human_entry	0.000000
2460	K7ES11	UBE2O		no_reviewed_human_entry	0.000000
2475	Q5TBK7	UCHL3		no_reviewed_human_entry	0.000000
2503	H0YM72	USP3		no_reviewed_human_entry	0.000000
2571	E9PLW4	WDR63		no_reviewed_human_entry	0.000000
2587	H3BUP8	XPO6		no_reviewed_human_entry	0.000000
2616	H0Y6A5	ZDHHC3		no_reviewed_human_entry	0.000000
2641	P01598;P01596			no_reviewed_human_entry	0.000000
2642	P04206;P01623;P01622;P01620			no_reviewed_human_entry	0.000000
