row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
2320	P29401;P29401-2;A0A0B4J1R6;E9PFF2;F8W888;F8WAX4	TKT	P29401	1	member	1:P29401:reviewed_human	0.040860
2321	Q96CP7	TLCD1	Q96CP7	1	member	1:Q96CP7:reviewed_human	0.000000
2322	Q9Y490	TLN1	Q9Y490	1	member	1:Q9Y490:reviewed_human	0.001038
2323	Q9Y4G6;H0YMT1;H0YN01	TLN2	Q9Y4G6	1	member	1:Q9Y4G6:reviewed_human	0.002842
2324	Q99805	TM9SF2	Q99805	1	member	1:Q99805:reviewed_human	0.000000
2325	Q9HD45;Q5TB53	TM9SF3	Q9HD45	1	member	1:Q9HD45:reviewed_human	0.000108
2326	Q92544;A0A0C4DFM1	TM9SF4	Q92544	1	member	1:Q92544:reviewed_human	0.000000
2327	Q969X1;C9JEN3;C9IYT2;F8WDY4;C9IZ27;C9JW19;C9JWV9;B4DUD2;C9JAP5;C9JM62;C9JAK9;C9JN47;C9JI44;C9JDV0	TMBIM1	Q969X1	1	member	1:Q969X1:reviewed_human	0.000358
2328	Q7Z5M5;H0YK69;Q7Z5M5-2	TMC3	Q7Z5M5	1	member	1:Q7Z5M5:reviewed_human	0.000000
2329	Q7Z403;Q7Z403-2;K7ERH0;Q7Z403-3;K7ENC4;K7ENM6;Q7Z403-4	TMC6	Q7Z403	1	member	1:Q7Z403:reviewed_human	0.000716
2330	Q8IU68;Q8IU68-2;K7EJ72	TMC8	Q8IU68	1	member	1:Q8IU68:reviewed_human	0.000114
2331	O75069;G5E963;A0A0C4DFR1;O75069-2;A6NJC0;O94876;Q6N039;E9PC87;O94876-2	TMCC2	O75069	1	member	1:O75069:reviewed_human	0.000147
2332	Q9UM00;J9JIE6;J3QQY2;Q9UM00-2;J3KS45;J3KTQ7	TMCO1	Q9UM00	1	member	1:Q9UM00:reviewed_human	0.000000
2333	Q13445;K7EQ63;K7EIN4;K7ERK5;K7ER03;K7ES06	TMED1	Q13445	1	member	1:Q13445:reviewed_human	0.000065
2334	P49755;G3V2K7	TMED10	P49755	1	member	1:P49755:reviewed_human	0.001144
2335	Q15363;E7EQ72;F5GX39	TMED2	Q15363	1	member	1:Q15363:reviewed_human	0.000366
2336	Q9Y3Q3	TMED3	Q9Y3Q3	1	member	1:Q9Y3Q3:reviewed_human	0.000000
2337	Q7Z7H5;Q7Z7H5-3;Q7Z7H5-2;F8W7F7	TMED4	Q7Z7H5	1	member	1:Q7Z7H5:reviewed_human	0.000017
2338	Q9Y3A6;B1AKT3;Q9Y3A6-2;M0R072	TMED5	Q9Y3A6	1	member	1:Q9Y3A6:reviewed_human	0.000454
