row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
113	P02679;P02679-2;C9JEU5;C9JC84	FGG	P02679	1	member	1:P02679:reviewed_human	3.049551
114	Q08830;E7ERS0	FGL1	Q08830	1	member	1:Q08830:reviewed_human	0.000472
115	P02751;P02751-10;P02751-9;P02751-14;P02751-8;E9PE77;P02751-3;P02751-5;F8W7G7;P02751-6;P02751-13;P02751-7;P02751-15;P02751-4;E7ERA1;P02751-11;P02751-12;H0Y7Z1	FN1	P02751	1	member	1:P02751:reviewed_human	0.413224
116	P23142-4;B1AHL2	FBLN1	P23142	1	member	1:P23142:reviewed_human	0.002390
117	P23142;P23142-3;F8W7M9;CON__ENSEMBL:ENSBTAP00000016046	FBLN1	P23142	1	member_duplicate_entry	1:P23142:reviewed_human	0.008549
118	Q15485;Q15485-2	FCN2	Q15485	1	member	1:Q15485:reviewed_human	0.001347
119	O75636;O75636-2	FCN3	O75636	1	member	1:O75636:reviewed_human	0.007728
120	Q08380;B4DVE1;B4DI70	LGALS3BP	Q08380	1	member	1:Q08380:reviewed_human	0.008444
121	Q92820;E5RGF0	GGH	Q92820	1	member	1:Q92820:reviewed_human	0.000599
122	P06396	GSN	P06396	1	member	1:P06396:reviewed_human	0.259996
123	P22352	GPX3	P22352	1	member	1:P22352:reviewed_human	0.006516
124	P00738;Q0VAC5;I3L0D3;H3BS21	HP	P00738	1	member	1:P00738:reviewed_human	2.666957
125	P00739;P00739-2	HPR	P00739	1	member	1:P00739:reviewed_human	0.041441
126	P17066;P48741	HSPA6;HSPA7	P17066	1	member	1:P17066:reviewed_human	0.000100
127	P69905;G3V1N2	HBA1;HBA2	P69905	1	named_contaminant	1:P69905:reviewed_human	0.120777
128	P68871;F8W6P5	HBB	P68871	1	named_contaminant	1:P68871:reviewed_human	0.212899
129	P02042;E9PFT6;E9PEW8	HBD	P02042	1	named_contaminant	1:P02042:reviewed_human	0.000170
130	P69892;P69891;E9PBX7;E9PBW4	HBG2;HBG1	P69892	1	member	1:P69892:reviewed_human	0.000158
131	P02790;Q9BS19	HPX	P02790	1	member	1:P02790:reviewed_human	0.699159
132	P05546	SERPIND1	P05546	1	member	1:P05546:reviewed_human	0.085922
133	Q04756;D6RAR4;CON__ENSEMBL:ENSBTAP00000023055	HGFAC	Q04756	1	member	1:Q04756:reviewed_human	0.003292
134	P26927;G3XAK1;F5H0W9;Q2TV78	MST1;MST1L	P26927	1	member	1:P26927:reviewed_human	0.002610
135	P04196	HRG	P04196	1	member	1:P04196:reviewed_human	0.060375
136	P30455;P04439;P05534;Q5SUL6;Q5SRN7;E7ERM2;B0S7Z4;Q5SUL4;Q5SRN5;B0S7Z5;B0S7Z6;Q29960-2;Q29940;P30685;P30498;P30495;P30493;P30492;P30491;P30490;P30484;P30464;P18465;P18464;P10319;P30447;P30443;P16188;P13746;Q29960;P30510;P30508;P30504;P13746-2;P01892;P18462;P16189;P13747;Q9TNN7;P01889;P30460;P30501;P17693;P30466;A2BF26;F5GXQ3;E9PLQ4;F8VYX9;B4DVX9;F5H017;H0Y805;E9PLC1;H0Y7W0;H0Y7Q7;H0Y5Q6;H0Y5J2;H0Y4C2;H0Y7D1;H0Y671;H0Y5W5;H0Y5E5;H0Y4I7;F8VVT3;B4DUK6;Q31611;F6V8D7;F8VTQ8;B7Z760;F8VZP0;F8VPX3;F8VPA0;H3BM09;B0UXQ1;A9R9N8;A2BDY9;A2ARK8;F6RUR5;F6R3U9;B4DT81;E9PNV0;D0EV57;Q6ZUW0;F8W0J9;B0V0C2;Q6DU44;F8VU18;H3BM16;B0UXQ0;B0V0B9;B0UY12;A2BF24;Q5SPM3;A9R9N7;B0V0C1;B0UY14;A2BF25;B0UY15;F8VPA9;E7EWC3;E7EQP4;E7EQX5;E7ENZ6;E7EN49;Q5SPT7;Q95365;Q29836;Q29718;Q04826;P30488;P30487;P30485;P30483;P30481;P30480;P30479;P30475;P30462;P30461;P18463;P03989;P01893;P30512;P30459;P30457;P30456;P30453;P30450;P16190;P10316;P10314;P01891;Q29963;Q29865;Q07000;P30505;P04222;Q95604	HLA-A;HLA-C;HLA-B;HLA-E;HLA-G;HLA-G2.2;HLA-F;HLA-H	P04439	2	member_via_later_token	1:P30455:?/?; 2:P04439:reviewed_human	0.000267
137	Q14520;F5H5M6	HABP2	Q14520	1	member	1:Q14520:reviewed_human	0.007323
138	P01876	IGHA1	P01876	1	member	1:P01876:reviewed_human	2.226517
139	P01877	IGHA2	P01877	1	member	1:P01877:reviewed_human	0.023761
140	P01880;P01880-2	IGHD	P01880	1	member	1:P01880:reviewed_human	0.003315
141	P01857	IGHG1	P01857	1	member	1:P01857:reviewed_human	5.153900
142	P01859	IGHG2	P01859	1	member	1:P01859:reviewed_human	1.521619
143	P01860	IGHG3	P01860	1	member	1:P01860:reviewed_human	0.131963
144	P01861	IGHG4	P01861	1	member	1:P01861:reviewed_human	0.269318
145	P01742;P01761;P06326		P01742	1	member	1:P01742:reviewed_human	0.004522
146	P01743		P01743	1	member	1:P01743:reviewed_human	0.001469
147	P23083		P23083	1	member	1:P23083:reviewed_human	0.002906
148	P06331		P06331	1	member	1:P06331:reviewed_human	0.001352
149	P04438;P01814		P01814	2	member_via_later_token	1:P04438:?/?; 2:P01814:reviewed_human	0.006025
150	P01824		P01824	1	member	1:P01824:reviewed_human	0.002500
151	P01766		P01766	1	member	1:P01766:reviewed_human	0.093259
152	P01767		P01767	1	member	1:P01767:reviewed_human	0.005732
153	P01781;P01782		P01782	2	member_via_later_token	1:P01781:?/?; 2:P01782:reviewed_human	0.019983
154	P01780		P01780	1	member	1:P01780:reviewed_human	0.000892
155	P01772		P01772	1	member	1:P01772:reviewed_human	0.015155
156	P01775				no_reviewed_human_entry	1:P01775:?/?	0.002506
157	P01765				no_reviewed_human_entry	1:P01765:?/?	0.096358
158	P01764		P01764	1	member	1:P01764:reviewed_human	0.040492
159	P01776				no_reviewed_human_entry	1:P01776:?/?	0.000864
160	P01763		P01763	1	member	1:P01763:reviewed_human	0.003099
161	P01834	IGKC	P01834	1	member	1:P01834:reviewed_human	1.619481
162	P01594		P01594	1	member	1:P01594:reviewed_human	0.001006
163	P04430		P04430	1	member	1:P04430:reviewed_human	0.008214
164	P01597		P01597	1	member	1:P01597:reviewed_human	0.004651
165	P01598;P01596				no_reviewed_human_entry	1:P01598:?/?; 2:P01596:?/?	0.055859
166	P01602	IGKV1-5	P01602	1	member	1:P01602:reviewed_human	0.002792
167	P01603				no_reviewed_human_entry	1:P01603:?/?	0.002345
168	P01604				no_reviewed_human_entry	1:P01604:?/?	0.002678
169	P01612				no_reviewed_human_entry	1:P01612:?/?	0.006605
170	P01613				no_reviewed_human_entry	1:P01613:?/?	0.027446
171	P01608				no_reviewed_human_entry	1:P01608:?/?	0.065422
172	P01609				no_reviewed_human_entry	1:P01609:?/?	0.000077
173	P01610				no_reviewed_human_entry	1:P01610:?/?	0.000603
174	P01611		P01611	1	member	1:P01611:reviewed_human	0.008900
175	P06309				no_reviewed_human_entry	1:P06309:?/?	0.131876
176	P06310		P06310	1	member	1:P06310:reviewed_human	0.034482
177	P01619		P01619	1	member	1:P01619:reviewed_human	0.003474
178	P04207;H7C1X1				no_reviewed_human_entry	1:P04207:?/?; 2:H7C1X1:?/?	0.009616
179	P04206				no_reviewed_human_entry	1:P04206:?/?	0.002158
180	P18135;P18136				no_reviewed_human_entry	1:P18135:?/?; 2:P18136:?/?	0.001366
181	P06311				no_reviewed_human_entry	1:P06311:?/?	0.005567
182	P01621				no_reviewed_human_entry	1:P01621:?/?	0.008948
183	P01624		P01624	1	member	1:P01624:reviewed_human	0.037727
184	P01620				no_reviewed_human_entry	1:P01620:?/?	0.000774
185	P04433		P04433	1	member	1:P04433:reviewed_human	0.191633
186	P01623				no_reviewed_human_entry	1:P01623:?/?	0.606549
187	P01625;P06314				no_reviewed_human_entry	1:P01625:?/?; 2:P06314:?/?	0.072587
188	P06312;P06313;P83593	IGKV4-1	P06312	1	member	1:P06312:reviewed_human	0.081574
189	P04211		P04211	1	member	1:P04211:reviewed_human	0.034344
190	P06888				no_reviewed_human_entry	1:P06888:?/?	0.002400
191	P01701		P01701	1	member	1:P01701:reviewed_human	0.000862
192	P01703		P01703	1	member	1:P01703:reviewed_human	0.051972
193	P01702;P06316				no_reviewed_human_entry	1:P01702:?/?; 2:P06316:?/?	0.021466
194	P01699		P01699	1	member	1:P01699:reviewed_human	0.000108
195	P04208;P01700		P01700	2	member_via_later_token	1:P04208:?/?; 2:P01700:reviewed_human	0.011113
196	P01708				no_reviewed_human_entry	1:P01708:?/?	0.015754
197	P04209				no_reviewed_human_entry	1:P04209:?/?	0.006782
198	P80748		P80748	1	member	1:P80748:reviewed_human	0.092535
199	P01714		P01714	1	member	1:P01714:reviewed_human	0.016114
200	P01717		P01717	1	member	1:P01717:reviewed_human	0.015666
201	P01719;P01720				no_reviewed_human_entry	1:P01719:?/?; 2:P01720:?/?	0.021550
202	P06317				no_reviewed_human_entry	1:P06317:?/?	0.000119
203	P06318;P06319				no_reviewed_human_entry	1:P06318:?/?; 2:P06319:?/?	0.002665
204	P0CG05;P0CG06	IGLC2;IGLC3			no_reviewed_human_entry	1:P0CG05:?/?; 2:P0CG06:?/?; gene:IGLC2;IGLC3:ambiguous:P0DOY2;P0DOY3	1.452299
205	A0M8Q6	IGLC7	A0M8Q6	1	member	1:A0M8Q6:reviewed_human	0.008486
206	P01871;P01871-2;P04220	IGHM	P01871	1	member	1:P01871:reviewed_human	2.138976
207	Q9Y6R7	FCGBP	Q9Y6R7	1	member	1:Q9Y6R7:reviewed_human	0.000634
208	P01591;C9JA05;D6RHJ6;D6RD17	IGJ	P01591	1	member	1:P01591:reviewed_human	0.075018
209	P15814	IGLL1	P15814	1	member	1:P15814:reviewed_human	0.003699
210	B9A064;P0CG04	IGLL5;IGLC1	B9A064	1	member	1:B9A064:reviewed_human	0.974913
211	P17936;H0Y5K2;B3KTS0;B3KWK7;F5H4S6;B3KRZ1;C9JMX4;H0Y485	IGFBP3	P17936	1	member	1:P17936:reviewed_human	0.002866
212	P35858;E9PGU3	IGFALS	P35858	1	member	1:P35858:reviewed_human	0.032526
213	P19827;B7Z549;F5H7E1;F5H165	ITIH1	P19827	1	member	1:P19827:reviewed_human	0.356169
214	P19823;Q5T985	ITIH2	P19823	1	member	1:P19823:reviewed_human	0.597442
215	Q06033;C9JX84;Q06033-2;A8MXF4;F5H6B4;E7ET33	ITIH3	Q06033	1	member	1:Q06033:reviewed_human	0.063944
216	Q14624-2;E9PGN5;F5H194;H7C0L5	ITIH4	Q14624	1	member	1:Q14624:reviewed_human	0.000888
217	Q14624	ITIH4	Q14624	1	member_duplicate_entry	1:Q14624:reviewed_human	0.550232
218	P13598	ICAM2	P13598	1	member	1:P13598:reviewed_human	0.000455
219	Q9NPH3;Q9NPH3-3;Q9NPH3-2;Q9NPH3-5;C9J1D9;C9JT28	IL1RAP	Q9NPH3	1	member	1:Q9NPH3:reviewed_human	0.000163
220	P29622	SERPINA4	P29622	1	member	1:P29622:reviewed_human	0.022992
221	P13645;CON__P13645	KRT10	P13645	1	keratin	1:P13645:reviewed_human	0.000023
222	P08779;CON__P08779	KRT16	P08779	1	keratin	1:P08779:reviewed_human	0.000094
223	P35527;CON__P35527	KRT9	P35527	1	keratin	1:P35527:reviewed_human	0.000039
224	P04264;CON__P04264	KRT1	P04264	1	keratin	1:P04264:reviewed_human	0.000993
225	CON__P35908;P35908	KRT2			contaminant_group		0.000090
226	P19013;F5H8K9;CON__P19013;F8VS64	KRT4	P19013	1	keratin	1:P19013:reviewed_human	0.000238
227	P13647;CON__P13647;E7EU87	KRT5	P13647	1	keratin	1:P13647:reviewed_human	0.004019
228	P48668;E7EQV7;CON__P48668;CON__P04259	KRT6C	P48668	1	keratin	1:P48668:reviewed_human	0.000129
229	B4DPP8;P01042-2;C9JEX1	KNG1	P01042	2	member_via_later_token	1:B4DPP8:unreviewed/9606; 2:P01042:reviewed_human	0.047181
230	P01042	KNG1	P01042	1	member_duplicate_entry	1:P01042:reviewed_human	0.295009
231	P02750;B4E1I8	LRG1	P02750	1	member	1:P02750:reviewed_human	0.149905
232	P18428;Q8TCF0	LBP	P18428	1	member	1:P18428:reviewed_human	0.011315
233	P07195;C9J7H8;A8MW50	LDHB	P07195	1	member	1:P07195:reviewed_human	0.000494
234	P08637;H0Y755;E9PG94;C9JC71	FCGR3A	P08637	1	member	1:P08637:reviewed_human	0.000592
235	P14151;P14151-2	SELL	P14151	1	member	1:P14151:reviewed_human	0.002583
236	P51884	LUM	P51884	1	member	1:P51884:reviewed_human	0.035585
237	Q9Y5Y7	LYVE1	Q9Y5Y7	1	member	1:Q9Y5Y7:reviewed_human	0.000839
238	P13473;P13473-2;B4E2S7;P13473-3;B7Z2R9;H0YCG2	LAMP2	P13473	1	member	1:P13473:reviewed_human	0.000048
239	P61626;F8VV32	LYZ	P61626	1	member	1:P61626:reviewed_human	0.001292
240	P07333;E9PEK4;B5A955	CSF1R	P07333	1	member	1:P07333:reviewed_human	0.000122
241	P48740-4;P48740-2;F5H2J0;F8W876;P48740-3	MASP1	P48740	1	member	1:P48740:reviewed_human	0.001101
242	O00187;O00187-2	MASP2	O00187	1	member	1:O00187:reviewed_human	0.000488
243	P11226	MBL2	P11226	1	member	1:P11226:reviewed_human	0.005603
244	P33908;Q6P052	MAN1A1	P33908	1	member	1:P33908:reviewed_human	0.000316
