# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T07:19:18Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 b749cc5e5bf629c1915129358361efc1aa878172745f26c4d0096727ae111265
# input.composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.mhc_actin = outputs/intermediate/mass_fractions/classical_check_carroll_2004.tsv sha256 0b6e602857ecf49118ffadbcc8313d82395ef641f6d5042e6fa643fd1671071d
# input.band_families = outputs/intermediate/mass_fractions/band_families.tsv sha256 3c1644b6d60ae279cc9a8b196e23f7ee6b9911a2171b5bac85d4241e4d3097c6
# input.family_bounds = outputs/intermediate/mass_fractions/family_bounds.tsv sha256 26f0ac9d71d55f1173ea09d018ca0eb9f0503e51649951fc65d2ca09491b1cbc
# input.isoform_deltas = outputs/intermediate/protein_set/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/intermediate/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/intermediate/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/intermediate/mass_fractions/dataset_rows_outside_pool.tsv sha256 185af20197f6f86a894be30e12aafba5dea96b4ebf6d68178a44b6bb5ef7a876
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: total = every weighted entry under one denominator (D58); contractile and builders = the two tiers under their within-tier weights (D31); tiers are named, never numbered (D66).
# A6: the profile when the MHC band family (D52, cutoff 2) or the actin band family is rescaled so MHC:actin equals each ratio the methods measured; the ratio labelled ibaq_x_mw_within_tier1 (the table's own label for this repository's contractile-set measurement) reproduces the standard;
# no method is a reference for another; the other sources' slow/fast pools are placed against the gel's fiber types as classical_check_carroll_2004.tsv places them; types I and IIa only — no factor is invented for IIx
profile	fiber_type	convention	ratio_source	mhc_to_actin_target	mhc_to_actin_before_scaling	way	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y
total	IIa	residue	gel	2.206060606	3.595724626	scale_mhc	0.05027758737	0.01211989287	0.05910407204	0.1131785237	0.0417341814	0.03108930205	0.02317040779	0.05547995553	0.09601045968	0.08235330385	0.02638629887	0.03558675342	0.04187659461	0.04646618992	0.0712000025	0.04631885139	0.05068061968	0.0597273361	0.01685407239	0.04038559486
total	IIa	residue	gel	2.206060606	3.595724626	scale_actin	0.0504992804	0.01189797755	0.05853681536	0.1149329329	0.04149658607	0.03048106593	0.02327505098	0.05586631904	0.09636632502	0.08346259859	0.02729102952	0.03587996297	0.03999829549	0.04792671469	0.07142478132	0.04571706183	0.0505656826	0.05787477786	0.01626128404	0.04024545782
total	IIa	residue	intensity_share_deshmukh_2021 [fast (vs gel type IIa)]	3.907992685	3.595724626	scale_mhc	0.05059558835	0.01174115428	0.0583475886	0.1164027497	0.04142216514	0.03006003024	0.02305726666	0.05497225021	0.09792027032	0.08420330448	0.02659357875	0.03606485102	0.03945586256	0.04877984735	0.07163852517	0.04551250906	0.04997777729	0.05781109472	0.01608083036	0.03936275579
total	IIa	residue	intensity_share_deshmukh_2021 [fast (vs gel type IIa)]	3.907992685	3.595724626	scale_actin	0.05054691167	0.01179359104	0.05846862633	0.1159740686	0.04147256467	0.03020321131	0.02305046036	0.05495264625	0.09775617723	0.08394384156	0.02646191302	0.03599693889	0.03985147439	0.04844573213	0.07158203968	0.04564114901	0.05003605939	0.05817233388	0.01620625382	0.03944400672
contractile	I	free	ibaq_x_mw_within_tier1	2.553289056	2.553289056	scale_mhc	0.05251659874	0.01089317233	0.05978332101	0.1239474255	0.03719075815	0.03016703925	0.02029782099	0.0534457187	0.09939225688	0.08123911525	0.02718351816	0.03588178936	0.04229491749	0.04701885525	0.0703175188	0.04685256991	0.05096461457	0.05737649131	0.01487563916	0.03836085923
contractile	I	free	ibaq_x_mw_within_tier1	2.553289056	2.553289056	scale_actin	0.05251659874	0.01089317233	0.05978332101	0.1239474255	0.03719075815	0.03016703925	0.02029782099	0.0534457187	0.09939225688	0.08123911525	0.02718351816	0.03588178936	0.04229491749	0.04701885525	0.0703175188	0.04685256991	0.05096461457	0.05737649131	0.01487563916	0.03836085923
contractile	I	free	gel	1.555555556	2.553289056	scale_mhc	0.05207194229	0.01124094392	0.06034064769	0.1221148613	0.03723235797	0.03096061429	0.02026699687	0.05412409766	0.09811903086	0.0789023527	0.02692613177	0.03506354996	0.04467468277	0.04503361781	0.06974156338	0.04748986423	0.05191395818	0.05905083655	0.01548161523	0.03925033453
contractile	I	free	gel	1.555555556	2.553289056	scale_actin	0.05254394138	0.01108959349	0.05980092914	0.122037424	0.03736290933	0.03079960635	0.02070552249	0.0547769006	0.0973353246	0.08069644861	0.02824636587	0.03572001424	0.04242349204	0.0463392229	0.07003090803	0.0469893912	0.05169869958	0.05704440324	0.01496830359	0.0393905993
contractile	I	free	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.553289056	scale_mhc	0.05299380441	0.01051994359	0.05918519756	0.1259141347	0.03714611319	0.02931537389	0.02033090146	0.05271768186	0.1007586841	0.08374693069	0.02745974545	0.03675992454	0.03974095148	0.04914941367	0.07093563462	0.04616862512	0.04994577825	0.05557958266	0.01422530514	0.03740627362
contractile	I	free	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.553289056	scale_actin	0.05250122117	0.01078270449	0.05977341814	0.1250216159	0.03709393982	0.02981128166	0.02006852847	0.05269705808	0.1005490817	0.08154431256	0.02658576948	0.03597277216	0.04222260678	0.04740108249	0.07047870954	0.0467756212	0.050551763	0.05756325863	0.01482352441	0.03778173038
